wave,flux
2702.2736,-2.3896277e-15
2702.6793,-1.8514310e-14
2703.0850,-3.8680223e-14
2703.4907,-5.0920790e-14
2703.8965,-5.4041506e-14
2704.3024,-4.1436398e-14
2704.7083,-2.3719831e-14
2705.1143,-3.7594288e-15
2705.5203,5.9690024e-15
2705.9264,9.2190706e-15
2706.3326,3.1057865e-15
2706.7388,-2.8011199e-15
2707.1451,-1.1201398e-14
2707.5515,-1.6538234e-14
2707.9579,-2.5274382e-14
2708.3644,-3.0367520e-14
2708.7709,-3.1858547e-14
2709.1775,-1.7807548e-14
2709.5842,7.7243262e-15
2709.9909,4.3937180e-14
2710.3977,7.1455608e-14
2710.8045,8.2489235e-14
2711.2114,6.4835288e-14
2711.6184,2.8547000e-14
2712.0254,-1.7915931e-14
2712.4325,-5.1578118e-14
2712.8396,-6.4971950e-14
2713.2468,-4.9728448e-14
2713.6541,-1.9972645e-14
2714.0614,1.6356775e-14
2714.4688,4.0640416e-14
2714.8763,5.1914258e-14
2715.2838,4.5839438e-14
2715.6914,3.5114106e-14
2716.0990,2.1347153e-14
2716.5067,1.4042875e-14
2716.9144,6.3308118e-15
2717.3223,5.1664155e-16
2717.7301,-1.2269857e-14
2718.1381,-2.5691754e-14
2718.5461,-4.1526851e-14
2718.9542,-4.8546550e-14
2719.3623,-4.9166897e-14
2719.7705,-3.9053224e-14
2720.1787,-2.7272207e-14
2720.5870,-1.1992346e-14
2720.9954,-1.1779848e-15
2721.4038,9.3881512e-15
2721.8123,1.2689372e-14
2722.2209,1.4153241e-14
2722.6295,8.5335196e-15
2723.0382,3.2227816e-15
2723.4469,-5.7830959e-15
2723.8557,-1.0497626e-14
2724.2646,-1.4600258e-14
2724.6735,-1.1316486e-14
2725.0825,-7.6551715e-15
2725.4915,-3.9776903e-16
2725.9006,2.8498095e-15
2726.3098,8.5993664e-15
2726.7190,1.2730159e-14
2727.1283,1.9950175e-14
2727.5377,2.0188446e-14
2727.9471,1.6075520e-14
2728.3566,2.6574062e-15
2728.7661,-8.7287623e-15
2729.1757,-1.8436402e-14
2729.5854,-1.7590984e-14
2729.9951,-1.3297107e-14
2730.4049,-2.5628755e-15
2730.8147,5.8125715e-15
2731.2246,1.6237682e-14
2731.6346,2.1005372e-14
2732.0446,2.4089947e-14
2732.4547,1.7156179e-14
2732.8648,7.1490380e-15
2733.2751,-7.8660787e-15
2733.6853,-1.6748179e-14
2734.0957,-2.2341206e-14
2734.5061,-1.8032824e-14
2734.9165,-1.1790052e-14
2735.3271,-3.7670884e-16
2735.7376,8.4731344e-15
2736.1483,1.9801733e-14
2736.5590,2.6128040e-14
2736.9698,3.0595767e-14
2737.3806,2.3428943e-14
2737.7915,9.0038300e-15
2738.2024,-1.5718527e-14
2738.6134,-3.7622389e-14
2739.0245,-5.3965931e-14
2739.4357,-5.3103433e-14
2739.8469,-4.1260234e-14
2740.2581,-1.7675110e-14
2740.6694,3.9777096e-15
2741.0808,2.2526151e-14
2741.4923,2.7917591e-14
2741.9038,2.6748396e-14
2742.3154,1.6381546e-14
2742.7270,7.5825254e-15
2743.1387,-2.8524840e-15
2743.5504,-8.0201477e-15
2743.9623,-1.4492939e-14
2744.3741,-1.6270544e-14
2744.7861,-1.7737851e-14
2745.1981,-1.0399654e-14
2745.6101,-5.5326679e-16
2746.0223,1.4141192e-14
2746.4345,2.2737633e-14
2746.8467,2.7862564e-14
2747.2590,2.2729919e-14
2747.6714,1.4212887e-14
2748.0838,-1.4590185e-15
2748.4963,-1.4300753e-14
2748.9089,-2.5919594e-14
2749.3215,-2.7508558e-14
2749.7342,-2.4352635e-14
2750.1469,-1.0790005e-14
2750.5597,5.8175308e-15
2750.9726,2.7879262e-14
2751.3855,4.2763361e-14
2751.7985,4.9027927e-14
2752.2116,3.8196083e-14
2752.6247,2.1062141e-14
2753.0379,8.0286747e-16
2753.4511,-9.3116742e-15
2753.8644,-1.4769050e-14
2754.2778,-1.3331527e-14
2754.6912,-1.4838828e-14
2755.1047,-1.3647487e-14
2755.5183,-1.4486512e-14
2755.9319,-9.9831995e-15
2756.3456,-6.6951222e-15
2756.7593,-7.6488242e-17
2757.1731,2.5000533e-15
2757.5870,6.8753605e-15
2758.0009,6.3742826e-15
2758.4149,6.4979598e-15
2758.8289,5.1100362e-16
2759.2430,-5.2268484e-15
2759.6572,-1.4752305e-14
2760.0714,-1.9356477e-14
2760.4857,-2.3608652e-14
2760.9001,-2.0426828e-14
2761.3145,-1.6410173e-14
2761.7290,-6.9207726e-15
2762.1435,7.6204516e-17
2762.5582,9.9109369e-15
2762.9728,1.5749392e-14
2763.3876,2.2144977e-14
2763.8024,1.9742466e-14
2764.2172,1.2924473e-14
2764.6321,-1.0792762e-15
2765.0471,-7.7929712e-15
2765.4622,-7.7035696e-15
2765.8773,7.0045590e-15
2766.2924,2.4046904e-14
2766.7077,3.9936824e-14
2767.1230,4.0700143e-14
2767.5383,3.0316541e-14
2767.9537,6.4988727e-15
2768.3692,-1.6031295e-14
