SNR_bin,OII_median,OII_p16,OII_p84,OII_p023,OII_p977,Hb_median,Hb_p16,Hb_p84,Hb_p023,Hb_p977,OIII_median,OIII_p16,OIII_p84,OIII_p023,OIII_p977,Ha_median,Ha_p16,Ha_p84,Ha_p023,Ha_p977,NII_median,NII_p16,NII_p84,NII_p023,NII_p977,SII_median,SII_p16,SII_p84,SII_p023,SII_p977
0.29545454545454547,0.24513692710906668,-1.290661085857428,1.6995803934574285,-3.947782581954811,3.1208885094687764,-1.8882911223140526,-3.187871213828813,-0.48600247532578345,-5.122037858852778,1.4579240628082988,-0.8085670237005829,-2.014252946461393,0.3919882629429826,-3.8424166703374345,2.12955976516674,-1.535361072941294,-2.9397891952807678,-0.19032587437607598,-4.973453788093051,1.6082738150664133,-0.715011828807906,-2.1964024411967653,0.6114646590859066,-4.7618023191863665,2.3597081390584442,-0.45188597316184,-1.7691223093059638,0.7950313267881387,-4.035953303264134,2.521580337311594
0.8863636363636365,0.34662920181126516,-0.539981900967366,1.2736766278543028,-2.742520470018318,2.660210392098967,-0.7738504978528544,-1.6803695367965923,0.4724467490545314,-2.355984566740239,2.254377770239936,-0.10377486273523029,-0.8048825120927382,0.8763212345863661,-1.4838702465888292,2.4721956050822476,-0.5412662298350641,-1.4746701788612426,0.4922195179727767,-2.390264215063815,2.137755601312281,0.07504259504380675,-0.8188990467373122,1.1531461266848118,-2.290128988817785,2.715496325940052,0.16611821152515768,-0.5761840871399188,1.2000041229060825,-1.5311899208309305,2.76727760403221
1.4772727272727275,0.22823099366684238,-0.3147244710940825,0.8430607963328643,-2.1881123316885986,2.138804981504864,-0.36046028885442366,-1.1797938509464132,0.7997676331882939,-1.80594964081274,2.499761468254692,0.016945262991977558,-0.5250358168608426,0.8523407082574997,-1.062563694058368,2.364702520756829,-0.2804178097530703,-1.0558419990483305,0.5983040623710211,-1.8688644444008824,2.1442495079328183,0.19607557575474818,-0.5048664435325333,1.1415591868420913,-1.7006754305176002,2.6430457599678006,0.2330271929657675,-0.3100798797253017,1.0748882584480899,-1.0346994311082682,2.594310779056524
2.0681818181818183,0.14780460842240772,-0.232740746068107,0.5794577360761309,-1.7232496565190814,1.6422417956357722,-0.12718895253610163,-0.873601363711708,0.9427567172983429,-1.4619097808724342,2.5625381671561644,0.02926835287327947,-0.39959437995796804,0.7277258852584564,-0.8359663420219912,2.162308944337669,-0.1887135275070496,-0.852925399124344,0.5550968782192439,-1.5835593219917576,2.0341402281092207,0.19495088573818128,-0.37108739117378026,0.9994632888559517,-1.4018215823868116,2.4333904137897626,0.20138748313893473,-0.21013844729237394,0.881252366325484,-0.7973665480521229,2.3251467363743252
2.659090909090909,0.09983739162674529,-0.18379484582743602,0.40206780978505574,-1.236219990140413,1.2112184395998336,0.003675868373509368,-0.6613226245026659,0.967399840837456,-1.204341421941886,2.5598640878011794,0.015516557655232492,-0.3287970633034711,0.5697111905716649,-0.6775985268369862,1.880485871815062,-0.15593256386695703,-0.7380228456535652,0.48026966309809527,-1.3775570522766059,1.8292556388477657,0.1684451105519949,-0.295552838788312,0.8409798430491273,-1.1548137421095275,2.1950189233491386,0.16561632569287887,-0.15607937722268939,0.6930513830112756,-0.6327862800884478,2.0398462848606433
3.25,0.0713968924983675,-0.15464703087510095,0.29471238145095957,-0.8999818836744754,0.8285750294349159,0.07363913028526284,-0.5246061804447324,0.9234472112938656,-1.0304247008312482,2.5074604953904176,0.0005397797373766386,-0.2834200587131048,0.428895104427626,-0.5856820217603559,1.5907216047398276,-0.14328054206807114,-0.6547302145903958,0.3937677169270524,-1.215012514541132,1.6516275516982057,0.13832865011712026,-0.24544419251392544,0.6840256349173942,-0.9890366395644297,1.9076608276071139,0.13476614342741172,-0.12503766810361502,0.532841982995146,-0.5257634337504787,1.7881208798724215
3.8409090909090913,0.05349632091344644,-0.13441463970904127,0.23283362011816877,-0.5981919621520843,0.5835998426037932,0.10436265058040083,-0.4376634068670939,0.8638004597586564,-0.9099072822502371,2.3425730590515585,-0.006999766657570779,-0.2509988744757847,0.31879770172391203,-0.5083900201069573,1.2236006778045248,-0.13306719746674217,-0.5746844939263505,0.32573024213016133,-1.081366297737816,1.4221328199185235,0.11451239544905857,-0.2025208492195104,0.5460864933817717,-0.7855924914881351,1.6077840957086094,0.11289934100546085,-0.09984879015373595,0.4170667378397906,-0.41059884466657764,1.5261991756290612
4.431818181818182,0.04250006662489439,-0.11764220261343115,0.19067163804197554,-0.4488807036042469,0.42869722364756624,0.10425405923397174,-0.3734000384463081,0.7514123944934978,-0.8435134067976029,2.072460719584565,-0.009419821917003503,-0.22427730724535327,0.2589259431064155,-0.45999983332723077,0.9332592548958428,-0.13229435552792954,-0.5435284240616162,0.25372838815293935,-0.997927998041792,1.1440094680115453,0.10007007762439601,-0.16629253674281128,0.4556283373431389,-0.6654577117175529,1.3542185643195268,0.09593028451727087,-0.08580713532656285,0.33659904763396087,-0.33429816153831365,1.2398872910102776
5.022727272727273,0.03371169131536371,-0.1053859201437626,0.16394638949951074,-0.3639073873338815,0.3434157271516764,0.10435625020309122,-0.3261941973408643,0.6663536272985728,-0.7666135949131089,1.9203227737529622,-0.009453850048656464,-0.19943485955993956,0.21790669010577343,-0.4145466407388056,0.7346890693052285,-0.11913067895742827,-0.48768483009908903,0.21204632653038588,-0.9062703931031219,0.9574284550176322,0.08837036655315669,-0.1412188739918569,0.37672285734732186,-0.5491286272424021,1.172627927321954,0.08371403444322612,-0.07459094686300752,0.27989676865088087,-0.28923176678441237,0.9444156616516824
5.613636363636363,0.030170536732531155,-0.09183850383234458,0.1443216447258684,-0.30128280875832164,0.2896341245805179,0.10865731109394008,-0.29353393215333995,0.6196586980191546,-0.7091690020126683,1.7783936372110607,-0.007396542446798872,-0.17676611228123432,0.18733482634118268,-0.3844488850315493,0.5935336463305183,-0.1125768686210055,-0.4556861000644615,0.18977443559726498,-0.8298300755868502,0.7934507752366737,0.07913652715872621,-0.1195552345595334,0.3240533068973562,-0.4797346260768576,0.9501535642668358,0.07243780854269105,-0.06867251176821458,0.24061605274986972,-0.23349657463240772,0.665475239506057
6.204545454545455,0.02838315171744202,-0.0808782266166853,0.13032942041852405,-0.24952540853803032,0.25584263316032085,0.11120764189922543,-0.26376228653429284,0.5558620830423523,-0.6596199605215324,1.5742136248309437,-0.0075397152796158285,-0.16025136141188442,0.16854820790991437,-0.3572997666895856,0.508492543710521,-0.1073578789988757,-0.4225644007060068,0.1652562921839142,-0.7583374851830788,0.6787347611540272,0.07265224857080863,-0.10369817187346826,0.2837358755161904,-0.3958308232617192,0.7959031650916805,0.06544969527416136,-0.06175788432273174,0.21166553461000298,-0.2140556159432297,0.5484435006375392
6.795454545454546,0.025166128613896867,-0.07002259395962591,0.11852494520341818,-0.20854144160938803,0.22820403649866874,0.10723015468813815,-0.23237693731802608,0.5151703025112486,-0.61427656213297,1.3825189266819722,-0.006529989918442244,-0.145001019634298,0.15446781016470565,-0.329024147103141,0.49110366663932997,-0.09792086458156077,-0.39503528846355324,0.14338143927655372,-0.7304578831023744,0.5988644834372793,0.06874355162268828,-0.08842111538723281,0.2623049158153094,-0.3220964734355579,0.7147472872627101,0.05787610623007096,-0.05820529003531396,0.19641684844877752,-0.19460712282847287,0.4458376873281421
7.386363636363637,0.024925753289997285,-0.0613889006718976,0.1086576809628656,-0.18050021787594797,0.21101148044384527,0.11409452544956382,-0.2132563192456281,0.48230869384178987,-0.5791834660642639,1.2770259551290775,-0.0051800480057513365,-0.13121649005407562,0.13917641413900803,-0.3043978387078613,0.4195370550111807,-0.08689011488980163,-0.3717849773765521,0.14367976543603883,-0.6769139416781994,0.54169959736304,0.060989625450663686,-0.08202860748454274,0.23484038660872356,-0.2845179140924438,0.5979537181640373,0.051117297013701116,-0.0590155499444913,0.177400767232612,-0.18215699249320225,0.39935415153776505
7.977272727272728,0.022272116650044235,-0.05417352229561531,0.10160951830293882,-0.15899432969790117,0.1957245725143614,0.10943181904950389,-0.19092488212524372,0.4567954176796693,-0.532336704510476,1.1732288100126815,-0.0054697818641943835,-0.1200515828861746,0.13144104940441026,-0.2794157377687611,0.3862005534071548,-0.07649532552579097,-0.34288177031745176,0.1251086908478706,-0.6369903329303191,0.48330168556478414,0.058704139004724695,-0.07092855586097,0.2126912603225965,-0.2605030937108475,0.5588496152740458,0.04542953076669668,-0.05458334727615834,0.15910476256029557,-0.160112328950264,0.3301035423319383
8.568181818181818,0.021072143067187805,-0.047733220176527966,0.09374780256434836,-0.1395768613447449,0.18201115564272022,0.11648560347858301,-0.16186401354587113,0.4332936824868916,-0.4794187498749462,1.1104577181251698,-0.0029443769122339514,-0.10868322893215489,0.11889910610572416,-0.252241720889662,0.35756284282823797,-0.07244347373905685,-0.3215001848564021,0.12639163627956995,-0.6198336444178618,0.4413198345949321,0.05368411386411659,-0.06771548641637698,0.19823866128209394,-0.23264115045576475,0.483868407874288,0.04316727971823345,-0.04940042931880106,0.14564961569749899,-0.1538513295345735,0.3019159828533381
9.15909090909091,0.02078309508688131,-0.04195741707614812,0.0874376707287004,-0.12864084994361946,0.17225362713074252,0.11185157122882676,-0.1572558659745733,0.40973414944079195,-0.4731760760958509,0.9817929690413912,-0.0033540750987269955,-0.10608873845691671,0.11534581347745541,-0.2488598264674288,0.3557040618430651,-0.06363704361277508,-0.293407374711158,0.12378299947528783,-0.5564061358647266,0.4140169207030979,0.04857836858261787,-0.06191286783360104,0.18096691038609025,-0.2079133715146985,0.45174678066918006,0.03533910507012635,-0.0540266278352361,0.13708532820762562,-0.156894936224627,0.27543185624498
