SNR_bin,NeV_median,NeV_p16,NeV_p84,NeV_p023,NeV_p977,OIII_4364_median,OIII_4364_p16,OIII_4364_p84,OIII_4364_p023,OIII_4364_p977,HeII_4687_median,HeII_4687_p16,HeII_4687_p84,HeII_4687_p023,HeII_4687_p977
0.1896551724137931,0.11289375820458047,-1.7598196414556153,1.9413612237281022,-3.71521020206631,3.6438122658610617,0.025214251694135062,-1.7342301366234847,1.7320708119185746,-3.5653604140047546,3.56919157442649,-0.014460274366436324,-1.5659034006658692,1.6328738559349827,-3.3445656088110014,3.5292893127739577
0.5689655172413792,-0.003912566719827239,-1.642557036219741,1.6006944093706625,-3.532614142489759,3.5367537641341356,-0.008963360926203201,-1.5984650208202933,1.5753307712469333,-3.4216374592036907,3.3732151115271907,-0.002205473461747501,-1.5458677505744765,1.509550297896817,-3.329963982373156,3.2753476964321795
0.9482758620689654,0.0035051173216690415,-1.4579606678070023,1.4706860694483537,-3.262536765111587,3.3890567129775633,-0.014011326016962544,-1.4676006881199342,1.3846849350564114,-3.189810963417128,3.1990330651826335,-0.0019916014636016137,-1.3664029421523147,1.341861953727226,-2.99181961645266,2.981069013310647
1.3275862068965516,-0.004780562028315235,-1.3975700293550057,1.4037467499732041,-3.190629572318873,3.2524664192486297,0.0036734026809367992,-1.3490713412210535,1.2938221430054146,-2.9504412922322536,2.906842950186707,0.02096905550161914,-1.210327856456522,1.213954745614542,-2.7018049146646232,2.747726876212625
1.706896551724138,-0.00860859314955056,-1.304040472111197,1.2977448635959905,-2.8567954527377744,2.8578780671288837,-0.007401953260594331,-1.1702519183723878,1.148154735215651,-2.6155427204919763,2.561020615483075,-0.003821891402725093,-1.0068493732677113,0.9957309231260956,-2.0573863883032484,2.1914424407070814
2.086206896551724,-0.0018033859298904199,-1.2289427917169435,1.2110234320423954,-2.660655707381485,2.7385554622692823,0.004402296998854311,-1.0466385511509433,1.0310433895512425,-2.3081467509626217,2.3302516378010996,0.01086346296994305,-0.8639701570856798,0.8403151395342222,-1.8059502106694956,1.9076587278101118
2.46551724137931,0.018675168032363694,-1.1471688991549418,1.1361436534482718,-2.497911837311177,2.5518937744266292,-0.034552460275467045,-0.9648344345134126,0.8892312006318739,-2.0969792501457127,2.070127154065835,0.0455997221346799,-0.621733069385331,0.7140744177156706,-1.4883325480868907,1.7275411902829352
2.8448275862068964,-0.018626679997885785,-1.0985517672811667,1.0815689321460833,-2.4727221379558864,2.406098467311356,-0.02025146913727462,-0.8407501868308233,0.781790097718433,-1.889196678472995,1.855929138889384,0.03210237144840146,-0.5740081259482772,0.582087217183884,-1.6003130546897988,1.4049618639658616
3.2241379310344827,0.015366756480751557,-0.9965316601710642,1.0569873735355304,-2.300390698345877,2.3713070180413305,0.0029330875236538894,-0.7634565396286678,0.7012644445474119,-1.7449638916397279,1.6545105087725602,0.10628388803736323,-0.5595230735995258,0.6392101365611159,-2.562040007073531,1.9218052677454915
3.603448275862069,-0.02732555720255068,-0.9925316894772666,0.9691934143616314,-2.131624219087702,2.058166401616438,0.034057532551992745,-0.6291727577475368,0.6517731893748654,-1.8190288790640747,1.6847110113776567,-0.03175428564876317,-0.573616293952361,0.47346283524372057,-1.3645418608272326,1.3920869317775113
