SNR_bin,OII_median,OII_p16,OII_p84,OII_p023,OII_p977,Hb_median,Hb_p16,Hb_p84,Hb_p023,Hb_p977,OIII_5008_median,OIII_5008_p16,OIII_5008_p84,OIII_5008_p023,OIII_5008_p977,NII_6585_median,NII_6585_p16,NII_6585_p84,NII_6585_p023,NII_6585_p977,Ha_median,Ha_p16,Ha_p84,Ha_p023,Ha_p977
0.23863636363636365,-0.03516515696446145,-1.990994276019062,2.038282318329697,-3.7187701126788144,3.690142467866761,0.037153346779563855,-1.713830197991088,1.647465827826016,-3.403886973559205,3.463803327321977,0.014472533633157082,-1.6170728561375565,1.609822209364507,-3.519658525245922,3.3704380676395127,0.021438879550638428,-1.8344606691735033,1.8455179384803804,-3.795543254661013,3.6320176225198857,0.03577650771638201,-1.6844331161154693,1.663735465977023,-3.59024963385592,3.3932607192623934
0.7159090909090909,0.01378731624240057,-1.3319106457670074,1.3326793526582073,-2.7383162405199126,2.7767521600160077,-0.0244937060140534,-1.6028978865644936,1.5337303939413822,-3.3379529810269117,3.4260730673919735,0.014324743063639355,-1.5167958748774628,1.4872064207509517,-3.246056102957626,3.199539931798966,-0.040241402643272514,-1.6132203477543476,1.5555894934797259,-3.386022766990716,3.4300447257527726,0.052351497970222705,-1.5823372666109565,1.6219591445120873,-3.370068741078593,3.3513571977203895
1.1931818181818183,-0.001054521138079603,-0.9586777911001586,0.951633016791274,-1.9875063654973444,1.9878369412646428,-0.011717792972030287,-1.3778077876756758,1.3670368221104923,-3.107947372775558,3.0993069809433447,0.020913336972161512,-1.2809427387483814,1.298952422925614,-2.9346237889716615,2.9451673081334624,-0.004736714395603815,-1.3248884288295235,1.2908090033000945,-2.997167295272224,2.9738501276067573,0.020219483910738096,-1.3187436006902171,1.2623467955426178,-3.0260969173377585,2.9584033520853668
1.6704545454545454,0.0022359839537058382,-0.7304872053534723,0.7194478606112277,-1.5308004632789833,1.527112937068809,0.0034044311829507555,-1.184703635001038,1.1373053724425106,-2.635200667464167,2.5844944587259686,-0.006143130954151138,-1.0907577929655274,1.0723983484115656,-2.4205183834806774,2.4132521031741674,-0.017696023472011928,-1.1195769444477226,1.059877641516059,-2.5170384537457564,2.4391222933840715,0.003500842615912631,-1.069479478076379,1.0636798113483878,-2.465929154587988,2.5192627157227854
2.147727272727273,0.004259983295926949,-0.5768944689517762,0.5665108845324875,-1.2262070612551563,1.2144162316456852,0.015681079460944682,-0.9554869720149641,0.9590948642531615,-2.175404896033413,2.1908794442694557,-0.001752753544198619,-0.9152949366268265,0.8916468984216823,-2.0807274403242513,2.048436677703366,0.003438778188823228,-0.9220320776287001,0.9420301541384977,-2.053614579166587,2.2023751756233954,0.007305838088708301,-0.997118701795051,0.9192112311526293,-2.273520453638234,2.135135750146355
2.625,0.00463213118096733,-0.4787787915414954,0.46935549637106944,-1.0177772118949662,1.0062728971307926,-0.004178282978158094,-0.8302273117882423,0.803076763609196,-1.8462988415391197,1.82493702116605,-0.0007793781827110071,-0.7850725900747664,0.7770474033631685,-1.8054050476533412,1.764832916544558,0.009072871296256111,-0.8063423087675192,0.8175645062805025,-1.8054573745245601,1.8245629487126354,0.026660085627669285,-0.8367930329344501,0.8247877428543291,-1.8692004097123531,1.809709076571499
3.1022727272727275,0.0001176033498906511,-0.4190935455739839,0.4073238319522813,-0.8971108075353273,0.8727668806650584,-0.0010086586307261715,-0.64843276153669,0.6678454138634672,-1.4458888324659673,1.5196288126667994,0.0003536712054376273,-0.6849867549512245,0.6693322701419425,-1.5423773978225908,1.5347109095788796,0.0025953536926278343,-0.7269586266276662,0.7075724322591336,-1.5928528675658056,1.5735588666631406,0.0034049531761558413,-0.6983990673759157,0.6894933089096313,-1.5290245049577535,1.643294475151506
3.5795454545454546,0.008046323113173263,-0.3642764215215689,0.37357650620127564,-0.7723858538671293,0.799872869707379,0.01909056427559247,-0.5536009042972408,0.5617221678289318,-1.2341374982462372,1.2856143406237772,-0.013149185442667188,-0.6028701231584499,0.5591646102471088,-1.403905274013372,1.307469571501734,0.0053195350746501014,-0.596799482330078,0.6309168751244104,-1.3260800479324155,1.3066566266072401,0.009137992969006588,-0.5908426974810801,0.6059486218278565,-1.3397848332852613,1.387772506446956
4.056818181818182,-0.00638008548862011,-0.34707668440785755,0.3204602801527367,-0.7298475185805161,0.697114974908074,-0.005281020802728712,-0.5007771856838977,0.4804634705868684,-1.1112354736153616,1.0184826280123553,-0.016914827661453066,-0.5263037629133737,0.4770288945207395,-1.14755673018838,1.1220424365237418,0.008821105992085954,-0.5461486404971261,0.5320914035563049,-1.2004443135802692,1.1566611848392672,-0.004164969854593392,-0.5657415263312142,0.517302921193974,-1.2154130855830698,1.280417428377727
4.53409090909091,0.0031289389340693314,-0.28825378332656754,0.2934364448798378,-0.6621313605472239,0.6629801858164202,0.006032976301240297,-0.44003004187522704,0.4455081663226186,-0.9447460331584157,0.9582666217227354,-0.0022596792608319204,-0.46892860952651977,0.42481369644827094,-1.019757999587525,1.0118345895746361,-0.00429663417150126,-0.49154221838482104,0.4738589409004169,-1.071521937641878,1.0553676982631666,0.006851802252226917,-0.4646368081855655,0.48359109421817803,-1.004719123828094,0.9851953860265191
