wave_bin_log10,wave_bin_Ang,median,scatter,p16,p84,p023,p977
3.5521000623703003,3565.332699857099,1.0,3.272879846671353,0.1209069733239603,6.666666666666667,0.0,
3.556100010871887,3598.3218904671967,1.0201711679346375,21.90033752300244,0.009947419281162998,43.810622465286045,0.0,
3.560099959373474,3631.616322351735,0.9651509550938262,0.652905258364795,0.48458607255125913,1.790396589280849,0.015912165615668567,26.47571444027735
3.564099907875061,3665.218819836922,0.9806692547913011,0.30372070976155047,0.7205105594592512,1.3279519789823522,0.38637448119479373,2.51933451278572
3.5680999755859375,3699.1332487550153,0.9978123599251751,0.24871339267091297,0.7777067483694757,1.2751335337113017,0.36983240398561346,2.8638142501193258
3.572100043296814,3733.36148935677,0.9889526296859378,0.22630449024850718,0.8001822790748978,1.2527912595719122,0.4048994947860271,2.3668194448434243
3.576099991798401,3767.905411104585,0.9903954829479011,0.18549431495493562,0.8239584218842582,1.1949470517941294,0.46293187851082196,1.7946271971843768
3.580099940299988,3802.768959690872,0.9845714622828455,0.15708362404327247,0.8384572774098127,1.1526245254963576,0.5805678464299807,1.5649991998989736
3.5841000080108643,3837.9561460267496,0.983450899921369,0.14647630894229852,0.8444875979362586,1.1374402158208556,0.6167102742327265,1.5225409454108518
3.5881000757217407,3873.4689209259504,0.990440008588708,0.11161661129187178,0.871216339083536,1.0944495616672796,0.677191346983337,1.4507312110179091
3.5921000242233276,3909.3092240089804,0.9903370419678006,0.08720832133213363,0.9109030602618822,1.0853197029261494,0.7937047141603032,1.2799854606989838
3.5960999727249146,3945.481149044143,0.9980151973836728,0.06697466196178897,0.9361659437409263,1.0701152676645043,0.8586330322158249,1.1856659398113023
3.6000999212265015,3981.9877644518947,1.0002005296875163,0.058846261753145834,0.9406882496149761,1.0583807731212678,0.8520710824289807,1.1659567106003712
3.604099988937378,4018.833270171586,0.999198052102622,0.055052392616255275,0.9434979617784545,1.053602747010965,0.8515482022811809,1.1511466524374463
3.6081000566482544,4056.0197089558783,0.9968447449080742,0.05478961165477553,0.9469788235213997,1.0565580468309508,0.8546180345920793,1.1705190686887754
3.6121000051498413,4093.5491118366867,0.9986635343911855,0.07242666833726741,0.929260434079584,1.0741137707541188,0.8166740531460112,1.250409745764135
3.6160999536514282,4131.425765515483,0.9996949930787966,0.09310657044197207,0.9102612187523998,1.096474359636344,0.7887140728056332,1.3119837090201993
3.6201000213623047,4169.654027549014,1.0033912473558746,0.10695212690667943,0.9042757401131156,1.1181799939264745,0.7909324995670469,1.3202488054558215
3.624100089073181,4208.236017351371,1.0082754503020326,0.10147870444071405,0.9081936614428852,1.1111510703243133,0.7877516129736912,1.2943012965591387
3.628100037574768,4247.173842176035,1.0096268940286781,0.10181690258335946,0.8982449121089046,1.1018787172756235,0.7834662973842197,1.2950845064449967
3.632099986076355,4286.471949597926,1.0035147424981523,0.10981789457323399,0.8964333982446013,1.1160691873910693,0.7613938789398937,1.352550167257224
3.636099934577942,4326.133673227754,1.0061490322569002,0.11337422770173655,0.8911298585546976,1.1178783139581707,0.7538904031645931,1.4958555192202827
3.6401000022888184,4366.163575987388,1.0092081604280614,0.12319787118393899,0.8816799380268381,1.128075680394716,0.7519460603729486,1.4959410086171838
3.644100069999695,4406.56387717573,1.0035495903911507,0.125022292209153,0.88096445160704,1.131009036025346,0.740938529345168,1.4470794427471687
3.6481000185012817,4447.336783357963,1.0008249738726596,0.12409647616585212,0.8900325389265197,1.138225491258224,0.7383662611885361,1.447527243035311
3.6520999670028687,4488.486951716551,1.005131436151852,0.1302674592374788,0.8838228142302146,1.1443577327051722,0.7408058897600117,1.4664504042353523
3.6560999155044556,4530.01787297028,1.0070833184248924,0.13303280185568722,0.8795472742959927,1.145612878007367,0.7328990292496266,1.5205554550819913
3.660099983215332,4571.934325084694,1.0078868492111437,0.13125433253792168,0.8796673064707256,1.142175971546569,0.7151778047909174,1.5604303247800035
3.6641000509262085,4614.238631950928,1.0058454390503302,0.1300203716304934,0.8804884125490131,1.14052915581,0.6987225472936516,1.5671177224623412
3.6680999994277954,4656.933104126275,1.009146972145011,0.12913097644025606,0.8802895866453688,1.138551539525881,0.7120598418568143,1.5447339378376603
3.6720999479293823,4700.022618279232,1.0074094472838546,0.13806695390823182,0.8756042973496024,1.151738205166066,0.7213723660182035,1.5407689608992485
3.676100015640259,4743.512131685189,1.006058864745511,0.1449267790111085,0.8682921917010604,1.1581457497232774,0.7093781142282982,1.6114294653207273
3.6801000833511353,4787.404055447413,1.00495633427289,0.14987086338641809,0.8630267629533568,1.162768489726193,0.6861876366918596,1.6587125302883978
3.684100031852722,4831.700786834932,1.0042609875796735,0.14386350614372578,0.8635987022976828,1.1513257145851343,0.6830726163512367,1.6114993221435034
3.688099980354309,4876.407385530264,0.9993142846938244,0.14750607110140074,0.8638294332359217,1.1588415754387231,0.662378143464009,1.6104727630921492
3.692099928855896,4921.527643939863,0.9971485772239559,0.15346452478003875,0.8566979948583157,1.1636270444183932,0.6650235266861566,1.5721813609606643
3.6960999965667725,4967.066752968081,0.9983477522404045,0.16004020664644647,0.851517505959394,1.171597919252287,0.6685676621934006,1.6018704681632085
