flux,lam
465.03201747711836,100.0
462.2435036401073,100.200200133
555.5240211151594,100.400801068
499.6475551760337,100.601803605
422.69337710543005,100.80320855
417.1048406845936,101.005016708
447.85378672874737,101.207228887
406.81948044488416,101.409845894
279.4293861249372,101.612868541
179.86958228370233,101.816297639
255.70286269374793,102.020134003
270.45602051346134,102.224378447
227.7180676606038,102.429031789
184.99877738023534,102.634094847
210.5124118887958,102.839568442
298.04176703965726,103.045453395
282.9177368727037,103.251750531
250.37107579613183,103.458460673
248.1695875763182,103.665584649
290.4476901177528,103.873123288
375.18612339300137,104.081077419
448.9297498736073,104.289447875
565.6831312078566,104.498235489
558.9410521179852,104.707441096
469.73281094510816,104.917065532
342.9480195781805,105.127109638
419.94440878816414,105.337574251
526.2490644334113,105.548460216
545.6719546697825,105.759768374
580.4492883885313,105.971499571
538.6373904409857,106.183654655
409.9109464436278,106.396234473
337.99379970839374,106.609239876
395.988694740713,106.822671717
575.866310049206,107.036530848
579.1218868147134,107.250818125
633.1176213880391,107.465534406
665.103628808062,107.68068055
623.4634053440091,107.896257416
616.9526845819131,108.112265867
692.1352622919021,108.328706767
742.0916812509581,108.545580983
851.9320352918966,108.762889381
726.4518436446544,108.980632831
645.1364293290499,109.198812203
715.4358814122137,109.417428371
719.1880578068574,109.636482208
760.6733753025447,109.855974592
815.5185073320116,110.075906399
795.1199613335976,110.296278511
759.8300441402326,110.517091808
773.0576456725663,110.738347173
758.0599658639412,110.960045492
714.0411674290157,111.182187651
629.433441121392,111.404774539
592.4208839951242,111.627807046
570.1148632682792,111.851286065
510.1374474411786,112.075212488
528.8423555517866,112.299587213
552.5489815474375,112.524411137
603.1234646079863,112.749685158
699.1559079673624,112.975410178
698.1631468386353,113.2015871
608.3558139377288,113.428216828
644.7890788933352,113.65530027
386.2884574477254,113.882838332
425.84651697931236,114.110831927
662.9400582215923,114.339281964
737.7737692059145,114.568189359
619.9905330054283,114.797555027
430.700049226973,115.027379886
343.8254047570904,115.257664854
442.9583570614771,115.488410852
564.0091215616928,115.719618805
