flux,lam
      76147.4,      100.000
      77321.0,      100.200
      78520.1,      100.401
      79745.5,      100.602
      80997.9,      100.803
      82278.3,      101.005
      83587.5,      101.207
      84926.4,      101.410
      86296.0,      101.613
      87697.3,      101.816
      88973.3,      102.020
      88835.8,      102.224
      88722.4,      102.429
      88632.1,      102.634
      88564.0,      102.840
      88517.2,      103.045
      88490.9,      103.252
      88484.1,      103.458
      88496.0,      103.666
      88526.0,      103.873
      89002.9,      104.081
      90190.7,      104.289
      91428.5,      104.498
      92719.8,      104.707
      94068.3,      104.917
      95478.1,      105.127
      96953.6,      105.338
      98499.5,      105.548
      100121.,      105.760
      101823.,      105.971
      102457.,      106.184
      102919.,      106.396
      103383.,      106.609
      103850.,      106.823
      104322.,      107.037
      104804.,      107.251
      105327.,      107.466
      106022.,      107.681
      107458.,      107.896
      108219.,      108.112
      106928.,      108.329
      105807.,      108.546
      104812.,      108.763
      103911.,      108.981
      103082.,      109.199
      102309.,      109.417
      101578.,      109.636
      100881.,      109.856
      100757.,      110.076
      101685.,      110.296
      102628.,      110.517
      103586.,      110.738
      104558.,      110.960
      105545.,      111.182
      106547.,      111.405
      107565.,      111.628
      108599.,      111.851
      109650.,      112.075
      110718.,      112.300
      111805.,      112.524
      112912.,      112.750
      114039.,      112.975
      115189.,      113.202
      116364.,      113.428
      117565.,      113.655
      118795.,      113.883
      119638.,      114.111
      120049.,      114.339
      120464.,      114.568
      120884.,      114.798
      121310.,      115.027
      121745.,      115.258
      122189.,      115.488
      122648.,      115.720
      123126.,      115.951
      123629.,      116.183
      124167.,      116.416
      124753.,      116.649
      125405.,      116.883
      126148.,      117.117
      127018.,      117.351
      128066.,      117.586
      129359.,      117.821
      130882.,      118.057
      132280.,      118.294
      133816.,      118.530
      135528.,      118.768
      137475.,      119.006
      139747.,      119.244
      142493.,      119.483
      145961.,      119.722
      150576.,      119.961
      157070.,      120.202
      166722.,      120.442
      181779.,      120.683
      206211.,      120.925
      216284.,      121.167
      215730.,      121.410
      215193.,      121.653
      214674.,      121.896
      214171.,      122.140
      213685.,      122.385
      213216.,      122.630
      212762.,      122.875
      212324.,      123.121
      211902.,      123.368
      211495.,      123.615
      211104.,      123.862
      210727.,      124.110
      210365.,      124.359
      210018.,      124.608
      209685.,      124.857
      207185.,      125.107
      202513.,      125.358
      198753.,      125.609
      195779.,      125.860
      193483.,      126.112
      191772.,      126.364
      190570.,      126.617
      189810.,      126.871
      184060.,      127.125
      177510.,      127.379
      174256.,      127.634
      172522.,      127.890
      169347.,      128.146
      165562.,      128.403
      162736.,      128.660
      160659.,      128.917
      159170.,      129.175
      158139.,      129.434
      157469.,      129.693
      157082.,      129.953
      156917.,      130.213
      156927.,      130.474
      157076.,      130.735
      157334.,      130.996
      157268.,      131.259
      157751.,      131.521
      158722.,      131.785
      160230.,      132.049
      161207.,      132.313
      162209.,      132.578
      163236.,      132.843
      164285.,      133.109
      165357.,      133.376
      166452.,      133.643
      167567.,      133.910
      169346.,      134.178
      171599.,      134.447
      174001.,      134.716
      176524.,      134.986
      179155.,      135.256
      181887.,      135.527
      184724.,      135.798
      187680.,      136.070
      190787.,      136.343
      194108.,      136.615
      197757.,      136.889
      197370.,      137.163
      194247.,      137.438
      191501.,      137.713
      189253.,      137.988
      187695.,      138.265
      187130.,      138.542
      188053.,      138.819
      191268.,      139.097
      198102.,      139.375
      210780.,      139.654
      233075.,      139.934
      243505.,      140.214
      247730.,      140.495
      252094.,      140.776
      256604.,      141.058
      261265.,      141.340
      266084.,      141.623
      271068.,      141.907
      276225.,      142.191
      281561.,      142.476
      287086.,      142.761
      290807.,      143.047
      284447.,      143.333
      278285.,      143.620
      272314.,      143.907
      266526.,      144.196
      260914.,      144.484
      255471.,      144.773
      250192.,      145.063
      245069.,      145.354
      240097.,      145.645
      235270.,      145.936
      230584.,      146.228
      226032.,      146.521
      221609.,      146.815
      215802.,      147.108
      210254.,      147.403
      207947.,      147.698
      208063.,      147.994
      210020.,      148.290
      213406.,      148.587
      217933.,      148.884
      223400.,      149.182
      229670.,      149.481
      236651.,      149.780
      244286.,      150.080
      252543.,      150.381
      261407.,      150.682
      270878.,      150.983
      271591.,      151.286
      271830.,      151.589
      272134.,      151.892
      272519.,      152.196
      273002.,      152.501
      273607.,      152.806
      274363.,      153.112
      275309.,      153.419
      276492.,      153.726
      277976.,      154.034
      279840.,      154.342
      282187.,      154.651
      285148.,      154.960
      288199.,      155.271
      291740.,      155.582
      295966.,      155.893
      301021.,      156.205
      307081.,      156.518
      314358.,      156.831
      323108.,      157.145
      333645.,      157.460
      346346.,      157.775
      361673.,      158.091
      380185.,      158.407
      402561.,      158.725
      419264.,      159.042
      374795.,      159.361
      336691.,      159.680
      303934.,      159.999
      275678.,      160.320
      251215.,      160.641
      229957.,      160.962
      211412.,      161.285
      195167.,      161.607
      180879.,      161.931
      172654.,      162.255
      168313.,      162.580
      166105.,      162.905
      165486.,      163.232
      166069.,      163.558
      167577.,      163.886
      169816.,      164.214
      172650.,      164.543
      175985.,      164.872
      179759.,      165.202
      183930.,      165.533
      188475.,      165.864
      185568.,      166.196
      178236.,      166.529
      171872.,      166.863
      166313.,      167.197
      161430.,      167.531
      157116.,      167.867
      153283.,      168.203
      149858.,      168.540
      146783.,      168.877
      144007.,      169.215
      141488.,      169.554
      139190.,      169.893
      141545.,      170.233
      146626.,      170.574
      152759.,      170.916
      160425.,      171.258
      170425.,      171.601
      184152.,      171.944
      204106.,      172.288
      234911.,      172.633
      285319.,      172.979
      294125.,      173.325
      299578.,      173.672
      305410.,      174.020
      311654.,      174.368
      318346.,      174.717
      325525.,      175.067
      333232.,      175.418
      341514.,      175.769
      350421.,      176.121
      360008.,      176.473
      370336.,      176.827
      355245.,      177.181
      323484.,      177.535
      299960.,      177.891
      282263.,      178.247
      268711.,      178.604
      258128.,      178.961
      249690.,      179.320
      242817.,      179.679
      237308.,      180.038
      234814.,      180.399
      233590.,      180.760
      233312.,      181.122
      233744.,      181.484
      234718.,      181.848
      231713.,      182.212
      226082.,      182.577
      221082.,      182.942
      216796.,      183.308
      213328.,      183.675
      210813.,      184.043
      209426.,      184.412
      209387.,      184.781
      210981.,      185.151
      214570.,      185.521
      220616.,      185.893
      222654.,      186.265
      223638.,      186.638
      226043.,      187.012
      229758.,      187.386
      234697.,      187.761
      240801.,      188.137
      248026.,      188.514
      256347.,      188.891
      265752.,      189.269
      276242.,      189.648
      287832.,      190.028
      300544.,      190.408
      314412.,      190.789
      305468.,      191.171
      271890.,      191.554
      243614.,      191.938
      219633.,      192.322
      199146.,      192.707
      181517.,      193.093
      166237.,      193.479
      152902.,      193.867
      156225.,      194.255
      169179.,      194.644
      184366.,      195.033
      202448.,      195.424
      224337.,      195.815
      251315.,      196.207
      285195.,      196.600
      328561.,      196.993
      385123.,      197.388
      460254.,      197.783
      508085.,      198.179
      499646.,      198.576
      491608.,      198.973
      483950.,      199.372
      476656.,      199.771
      469703.,      200.171
      463075.,      200.571
      456758.,      200.973
      450736.,      201.375
      444990.,      201.778
      423838.,      202.182
      394663.,      202.587
      375910.,      202.993
      363744.,      203.399
      355766.,      203.806
      350476.,      204.214
      346928.,      204.623
      344797.,      205.033
      346249.,      205.443
      347784.,      205.855
      349404.,      206.267
      351110.,      206.680
      352904.,      207.093
      354789.,      207.508
      356766.,      207.923
      358831.,      208.340
      360989.,      208.757
      363245.,      209.175
      365596.,      209.594
