flux,lam
2.3469034395344295e-20,100.0
2.3512501668249333e-20,100.200200133
2.3660565758297992e-20,100.400801068
2.3884291522797893e-20,100.601803605
2.4071883108573663e-20,100.80320855
2.4130926600165002e-20,101.005016708
2.4484649644773332e-20,101.207228887
2.5172407389319863e-20,101.409845894
2.5760156491879105e-20,101.612868541
2.6323412260425773e-20,101.816297639
2.6955548970867375e-20,102.020134003
2.767372518664728e-20,102.224378447
2.8491192066461564e-20,102.429031789
2.941618607075534e-20,102.634094847
3.046159443001036e-20,102.839568442
3.164212109053195e-20,103.045453395
3.2970084550007367e-20,103.251750531
3.4464573540348567e-20,103.458460673
3.61492177039175e-20,103.665584649
3.804511609570119e-20,103.873123288
4.017232878407092e-20,104.081077419
4.2560373767103434e-20,104.289447875
4.524192466475593e-20,104.498235489
4.824552305205912e-20,104.707441096
5.160985913453735e-20,104.917065532
5.538388212293769e-20,105.127109638
5.96124194438541e-20,105.337574251
6.434212510117107e-20,105.548460216
6.962867500880403e-20,105.759768374
7.553394092024416e-20,105.971499571
8.214117127028227e-20,106.183654655
8.952850332870779e-20,106.396234473
9.777895176026135e-20,106.609239876
1.0699877465639176e-19,106.822671717
1.1728939997828703e-19,107.036530848
1.2877119489765898e-19,107.250818125
1.4157581264602805e-19,107.465534406
1.5585215655323717e-19,107.68068055
1.7184254499744655e-19,107.896257416
1.896229349664231e-19,108.112265867
2.0937751081187611e-19,108.328706767
2.3141230642489775e-19,108.545580983
2.560060916612886e-19,108.762889381
2.8343571467637305e-19,108.980632831
3.138910682549037e-19,109.198812203
3.476961377554813e-19,109.417428371
3.85472609353756e-19,109.636482208
4.2749142951950524e-19,109.855974592
4.742112707266771e-19,110.075906399
5.262499851745169e-19,110.296278511
5.841228216835001e-19,110.517091808
6.484845472563227e-19,110.738347173
7.200420604186706e-19,110.960045492
7.996030059308111e-19,111.182187651
8.8808281590159e-19,111.404774539
9.865429161477842e-19,111.627807046
1.0957591261851434e-18,111.851286065
1.2168962325309776e-18,112.075212488
1.3515735782280654e-18,112.299587213
1.5011819598628581e-18,112.524411137
1.6670817133094006e-18,112.749685158
1.8513231711750394e-18,112.975410178
2.0560605406538195e-18,113.2015871
2.283132658394531e-18,113.428216828
2.5345946858361885e-18,113.65530027
2.813833323872499e-18,113.882838332
3.1238568573285613e-18,114.110831927
3.467866070616025e-18,114.339281964
3.8495383845566444e-18,114.568189359
4.272323209447921e-18,114.797555027
4.74071163512784e-18,115.027379886
5.259771681918517e-18,115.257664854
5.837102965131578e-18,115.488410852
6.477136480710261e-18,115.719618805
7.183944846696296e-18,115.951289636
7.964042545535492e-18,116.183424273
8.829131760120381e-18,116.416023643
9.790062561880521e-18,116.649088678
1.0852670139649818e-17,116.882620309
1.20284639830786e-17,117.116619471
1.3329086032526116e-17,117.351087099
1.4768654139890166e-17,117.586024132
1.6363475359490292e-17,117.821431509
1.8125036153511262e-17,118.057310172
2.0072606529631178e-17,118.293661065
2.2227770827891534e-17,118.530485132
2.460931701604886e-17,118.767783321
2.7242426412834407e-17,119.005556582
3.014843037325975e-17,119.243805865
3.3359672622188094e-17,119.482532123
3.6908985156528637e-17,119.721736312
4.0824025497724035e-17,119.961419388
4.5152814302793247e-17,120.20158231
4.993585456102977e-17,120.442226038
5.5211233476593106e-17,120.683351535
6.103197746823603e-17,120.924959766
6.745380809369955e-17,121.167051696
7.455318267485969e-17,121.409628296
8.238327622731678e-17,121.652690533
9.100244242175004e-17,121.896239382
1.0051351854671191e-16,122.140275816
1.1101315203305192e-16,122.384800811
1.2258900242351305e-16,122.629815346
1.3534089165566073e-16,122.8753204
1.494039350808301e-16,123.121316955
1.6492532697758057e-16,123.367805996
1.820198112162146e-16,123.614788508
2.0082220277318662e-16,123.862265479
2.2154182036387313e-16,124.1102379
2.4439464711741406e-16,124.358706762
2.695635035187221e-16,124.607673059
2.972419207896387e-16,124.857137786
3.276781876191801e-16,125.107101943
3.611655401132819e-16,125.357566528
3.980520895315672e-16,125.608532543
4.3844559305843e-16,125.860000993
4.793533640560353e-16,126.111972883
5.156563320952469e-16,126.364449221
5.688738818791372e-16,126.617431017
6.412606468543005e-16,126.870919282
7.108423750760408e-16,127.124915032
7.828926127112901e-16,127.379419282
8.618160904742978e-16,127.634433049
9.484295524318647e-16,127.889957354
1.043805985781915e-15,128.145993219
1.1484485210875156e-15,128.402541669
1.2633290326558686e-15,128.659603728
1.3903988621430918e-15,128.917180427
1.5291369264208134e-15,129.175272794
1.6804889476582832e-15,129.433881862
1.8466386230498935e-15,129.693008667
2.0292852482443265e-15,129.952654243
2.2300933414587408e-15,130.21281963
2.4508980171543768e-15,130.473505869
2.693726154936521e-15,130.734714001
2.9606930603569756e-15,130.996445073
3.254101840488589e-15,131.258700131
3.5751213101552314e-15,131.521480224
3.924047540857727e-15,131.784786403
4.307308375218947e-15,132.048619721
4.7294860784681514e-15,132.312981234
5.190507110804773e-15,132.577871999
5.696659257981453e-15,132.843293075
6.250298049526018e-15,133.109245525
6.856407773354157e-15,133.375730412
7.520881656453745e-15,133.642748803
8.249231301460509e-15,133.910301764
9.046831124046387e-15,134.178390367
9.919464496873041e-15,134.447015683
1.0875742547481372e-14,134.716178788
1.1923703251976217e-14,134.985880758
1.3071109394054155e-14,135.256122671
1.432685124376411e-14,135.526905609
1.5701156564519837e-14,135.798230655
1.7205725402988176e-14,136.070098894
1.885074647837867e-14,136.342511413
2.0649346678353944e-14,136.615469303
2.2616074844309653e-14,136.888973655
2.476716564525088e-14,137.163025563
2.7120006589861712e-14,137.437626123
2.969279516658335e-14,137.712776434
3.250357777061133e-14,137.988477596
3.557257818196559e-14,138.264730712
3.892241868329962e-14,138.541536887
4.2580041706883135e-14,138.818897229
4.6580125515918527e-14,139.096812846
5.0955931998780735e-14,139.375284851
5.573340628822005e-14,139.654314357
6.09437382783016e-14,139.933902481
6.663161297942828e-14,140.214050341
7.284421676854632e-14,140.494759056
7.962342348155368e-14,140.776029751
8.701633723565045e-14,141.057863551
9.508631724311758e-14,141.340261582
1.0388449849115184e-13,141.623224974
1.1348054284071392e-13,141.906754859
1.2395220554032415e-13,142.190852372
1.3536840259073616e-13,142.475518648
1.4782018156918332e-13,142.760754826
1.6138967791796003e-13,143.046562048
1.7615789640794883e-13,143.332941456
1.9219168584704838e-13,143.619894196
2.097353611194278e-13,143.907421416
2.289775920414534e-13,144.195524265
2.498977741747739e-13,144.484203897
2.726190910244823e-13,144.773461466
2.973547533580066e-13,145.063298129
3.2425185986512533e-13,145.353715046
3.5353238589529195e-13,145.644713377
3.8541630064951265e-13,145.936294288
4.201137557507616e-13,146.228458943
4.579315165880272e-13,146.521208513
4.991023609552707e-13,146.814544168
5.438296979760064e-13,147.108467081
5.925365994765483e-13,147.402978429
6.454705445094595e-13,147.698079388
7.027881710902526e-13,147.99377114
7.647366309197168e-13,148.290054867
8.312293013220814e-13,148.586931755
9.055328219109068e-13,148.884402991
9.87631250879681e-13,149.182469764
1.0755584754770872e-12,149.481133268
1.1706532177844951e-12,149.780394696
1.2738326085460409e-12,150.080255246
1.3858289168062016e-12,150.380716117
1.5074034579050592e-12,150.681778511
1.6396149924605377e-12,150.983443633
1.7830786273666452e-12,151.285712688
1.939246961892567e-12,151.588586887
2.1093929215374266e-12,151.89206744
2.2930006940349833e-12,152.196155562
2.4915503020243715e-12,152.500852468
2.7080418537259653e-12,152.806159378
2.943160502521296e-12,153.112077513
3.1978419879100857e-12,153.418608097
3.4741284560954788e-12,153.725752355
3.773387908206719e-12,154.033511516
4.098391120341431e-12,154.341886812
4.45119097221217e-12,154.650879475
4.83351410854807e-12,154.960490742
5.247727534984192e-12,155.270721851
5.696113200702266e-12,155.581574043
6.179340720389986e-12,155.893048562
6.696551269537325e-12,156.205146653
7.265313582845986e-12,156.517869565
7.894551768996268e-12,156.831218549
8.568605344838943e-12,157.145194858
9.283519311658965e-12,157.459799747
1.0023288798843758e-11,157.775034477
1.0859021225767328e-11,158.090900306
1.182276287452466e-11,158.407398499
1.2846076704645792e-11,158.724530323
1.3940446236598309e-11,159.042297044
1.5114235670216873e-11,159.360699935
1.6380327202475216e-11,159.679740269
1.7749696156665235e-11,159.999419322
1.923106959682768e-11,160.319738373
2.082360466677997e-11,160.640698703
2.2552252502891704e-11,160.962301596
2.4428116619469714e-11,161.284548338
2.6439451724598834e-11,161.607440219
2.86521026835739e-11,161.93097853
3.104796892984315e-11,162.255164565
3.362043866712954e-11,162.579999621
3.639463441399344e-11,162.905484997
3.9386498951689596e-11,163.231621996
4.2623360336949714e-11,163.558411921
4.612028359331212e-11,163.885856079
4.9890134125149695e-11,164.213955782
5.397024179986991e-11,164.54271234
5.838051852638379e-11,164.87212707
6.31244330055934e-11,165.202201288
6.823574212071726e-11,165.532936316
7.373797844815555e-11,165.864333475
7.971503598749233e-11,166.196394092
8.624445128902666e-11,166.529119495
9.323302407032795e-11,166.862511014
1.0076258607586697e-10,167.196569984
1.0889475113727462e-10,167.53129774
1.176534171391834e-10,167.866695621
1.270978464880513e-10,168.20276497
1.372727389333722e-10,168.53950713
1.4824534491188663e-10,168.876923448
1.6001876956745235e-10,169.215015274
1.725342168558814e-10,169.55378396
1.8623190288829588e-10,169.893230862
2.0021930445007098e-10,170.233357337
2.1150384629880576e-10,170.574164745
2.2521754516991566e-10,170.915654451
2.438112083800658e-10,171.257827819
2.671254338345986e-10,171.600686218
2.93424945174468e-10,171.944231021
3.1771942037098545e-10,172.288463601
3.4264984742549e-10,172.633385335
3.6954220144528996e-10,172.978997603
3.986136918556993e-10,173.325301787
4.2972565980778404e-10,173.672299272
4.633338512889952e-10,174.019991447
4.996004531866566e-10,174.368379702
5.38485564481354e-10,174.717465431
5.797951063686761e-10,175.06725003
6.239393641721628e-10,175.417734898
6.723736677122632e-10,175.768921437
7.249804648677952e-10,176.120811052
7.811126750128993e-10,176.473405151
8.410659476623371e-10,176.826705143
9.054900908475611e-10,177.180712443
9.741542452562427e-10,177.535428466
1.0463321115870138e-09,177.89085463
1.1247289432994323e-09,178.246992359
1.2110301109995487e-09,178.603843075
1.305630278780906e-09,178.961408207
1.4075205748322185e-09,179.319689185
1.5149219549861998e-09,179.678687442
1.6301995998717778e-09,180.038404414
1.7537887136223615e-09,180.39884154
1.8862321562214957e-09,180.760000261
2.0284576785007627e-09,181.121882023
2.181099100527022e-09,181.484488272
2.344842544276252e-09,181.84782046
2.52050111667921e-09,182.211880039
2.709466069805712e-09,182.576668466
2.9128225723203652e-09,182.9421872
3.130645040755036e-09,183.308437703
3.3640129461948384e-09,183.675421439
3.614600556951075e-09,184.043139878
3.883329532562076e-09,184.41159449
4.168758948721886e-09,184.780786748
4.472907870682483e-09,185.150718129
4.806217128578133e-09,185.521390114
5.1655735514659546e-09,185.892804185
5.5404642538484986e-09,186.264961827
5.90557592135856e-09,186.637864529
6.213380952943478e-09,187.011513782
6.681812357429393e-09,187.385911082
7.316005945840592e-09,187.761057926
7.899074669820182e-09,188.136955815
8.48134947385849e-09,188.513606251
9.098983926295224e-09,188.891010743
9.760341655582984e-09,189.269170798
1.0469545295120681e-08,189.64808793
1.1229439183601068e-08,190.027763656
1.2041639693976701e-08,190.408199492
1.2910504062559507e-08,190.789396961
1.3842227252461888e-08,191.171357588
1.483929258397127e-08,191.554082901
1.5905390912937372e-08,191.937574431
1.7045305237991915e-08,192.321833711
1.826625013855344e-08,192.706862279
1.9574501480069947e-08,193.092661674
2.097159718623458e-08,193.47923344
2.2464736571759275e-08,193.866579124
2.406193894609214e-08,194.254700274
2.5771958837883404e-08,194.643598443
2.7604206837552233e-08,195.033275186
2.9559319043438453e-08,195.423732064
3.164371445828773e-08,195.814970636
3.386793167606661e-08,196.206992468
3.6244430602027365e-08,196.599799129
3.8739088850647e-08,196.993392189
4.1316724384126963e-08,197.387773223
4.418225063464204e-08,197.782943808
4.733546736606671e-08,198.178905526
5.068883293659139e-08,198.575659959
5.427557075611815e-08,198.973208695
5.809399757765747e-08,199.371553324
6.217167559685363e-08,199.77069544
6.648514167972566e-08,200.170636639
7.10431476152489e-08,200.57137852
7.594577418056192e-08,200.972922688
8.12229696569521e-08,201.375270747
8.684077615398352e-08,201.778424308
9.281255938940631e-08,202.182384982
9.90820833861182e-08,202.587154387
1.0560216677804786e-07,202.99273414
1.1288687733919699e-07,203.399125865
1.2079212218313626e-07,203.806331186
1.2904744017419414e-07,204.214351733
1.378884590649907e-07,204.623189137
1.473058283138916e-07,205.032845035
1.573250340438978e-07,205.443321064
1.6797720322241425e-07,205.854618867
1.7931943356817326e-07,206.266740089
1.9142162022247135e-07,206.679686378
2.0431813108460138e-07,207.093459385
2.1805238416398054e-07,207.508060767
2.326913398775206e-07,207.923492182
2.482738628054426e-07,208.339755291
2.6488053108335905e-07,208.756851759
2.8259057145202977e-07,209.174783254
3.0136345756413997e-07,209.593551449
3.2082688455007153e-07,210.013158019
3.4135246989314143e-07,210.433604642
3.6467632145094753e-07,210.854892999
3.890084194868888e-07,211.277024776
4.137377745272588e-07,211.700001661
4.411574036566542e-07,212.123825347
4.701136373773865e-07,212.548497528
5.013764357576074e-07,212.974019904
5.348034356048273e-07,213.400394176
5.688234965283504e-07,213.82762205
6.037089183752449e-07,214.255705234
6.449130123789796e-07,214.684645442
6.897416012520773e-07,215.114444389
7.35202605011532e-07,215.545103793
7.830635165954815e-07,215.976625378
8.337960324255754e-07,216.409010871
8.876220587139682e-07,216.842261999
9.446524876922084e-07,217.276380497
1.0056474447602969e-06,217.7113681
1.0705120854246067e-06,218.14722655
1.138780663117364e-06,218.583957588
1.2118030044718758e-06,219.021562963
1.2898468164518454e-06,219.460044424
1.372320527321545e-06,219.899403726
1.4599072897072065e-06,220.339642626
1.5529199324172782e-06,220.780762884
1.6515814687164307e-06,221.222766266
1.7562658031856802e-06,221.665654539
