flux,lam
  5.43471e-05,      100.000
  5.97029e-05,      100.200
  6.56904e-05,      100.401
  7.23475e-05,      100.602
  7.96154e-05,      100.803
  8.74531e-05,      101.005
  9.63486e-05,      101.207
  0.000106460,      101.410
  0.000117425,      101.613
  0.000129405,      101.816
  0.000141762,      102.020
  0.000147120,      102.224
  0.000152689,      102.429
  0.000158470,      102.634
  0.000164472,      102.840
  0.000170704,      103.045
  0.000177173,      103.252
  0.000183890,      103.458
  0.000190867,      103.666
  0.000198112,      103.873
  0.000210726,      104.081
  0.000232913,      104.289
  0.000257462,      104.498
  0.000284625,      104.707
  0.000314686,      104.917
  0.000347954,      105.127
  0.000384771,      105.338
  0.000425520,      105.548
  0.000470620,      105.760
  0.000520539,      105.971
  0.000558414,      106.184
  0.000596213,      106.396
  0.000636580,      106.609
  0.000679668,      106.823
  0.000725671,      107.037
  0.000774801,      107.251
  0.000827251,      107.466
  0.000883245,      107.681
  0.000943027,      107.896
  0.000997336,      108.112
   0.00104555,      108.329
   0.00109614,      108.546
   0.00114920,      108.763
   0.00120480,      108.981
   0.00126307,      109.199
   0.00132414,      109.417
   0.00138813,      109.636
   0.00145472,      109.856
   0.00153432,      110.076
   0.00164077,      110.296
   0.00175491,      110.517
   0.00187620,      110.738
   0.00200582,      110.960
   0.00214431,      111.182
   0.00229231,      111.405
   0.00245052,      111.628
   0.00261966,      111.851
   0.00280047,      112.075
   0.00299374,      112.300
   0.00320037,      112.524
   0.00342135,      112.750
   0.00365760,      112.975
   0.00391013,      113.202
   0.00417992,      113.428
   0.00446673,      113.655
   0.00477083,      113.883
   0.00507839,      114.111
   0.00538369,      114.339
   0.00570400,      114.568
   0.00604199,      114.798
   0.00639976,      115.027
   0.00677854,      115.258
   0.00717889,      115.488
   0.00760267,      115.720
   0.00805398,      115.951
   0.00853159,      116.183
   0.00903578,      116.416
   0.00957096,      116.649
    0.0101386,      116.883
    0.0107388,      117.117
    0.0113727,      117.351
    0.0120341,      117.586
    0.0127302,      117.821
    0.0134970,      118.057
    0.0143124,      118.294
    0.0151609,      118.530
    0.0160484,      118.768
    0.0169924,      119.006
    0.0180101,      119.244
    0.0190824,      119.483
    0.0202120,      119.722
    0.0214057,      119.961
    0.0226657,      120.202
    0.0240064,      120.442
    0.0254321,      120.683
    0.0269282,      120.925
    0.0278354,      121.167
    0.0284950,      121.410
    0.0291704,      121.653
    0.0298470,      121.896
    0.0305216,      122.140
    0.0312161,      122.385
    0.0319606,      122.630
    0.0327053,      122.875
    0.0334314,      123.121
    0.0342098,      123.368
    0.0350473,      123.615
    0.0358832,      123.862
    0.0367129,      124.110
    0.0375450,      124.359
    0.0384204,      124.608
    0.0393414,      124.857
    0.0406205,      125.107
    0.0424134,      125.358
    0.0442790,      125.609
    0.0462195,      125.860
    0.0482244,      126.112
    0.0502679,      126.364
    0.0524597,      126.617
    0.0548266,      126.871
    0.0547363,      127.125
    0.0521620,      127.379
    0.0497784,      127.634
    0.0475119,      127.890
    0.0460228,      128.146
    0.0452244,      128.403
    0.0445793,      128.660
    0.0438933,      128.917
    0.0431918,      129.175
    0.0425157,      129.434
    0.0418318,      129.693
    0.0411027,      129.953
    0.0405182,      130.213
    0.0400490,      130.474
    0.0395374,      130.735
    0.0389288,      130.996
    0.0400622,      131.259
    0.0411869,      131.521
    0.0433021,      131.785
    0.0457530,      132.049
    0.0479790,      132.313
    0.0501402,      132.578
    0.0525703,      132.843
    0.0551994,      133.109
    0.0579013,      133.376
    0.0606756,      133.643
    0.0634353,      133.910
    0.0665024,      134.178
    0.0701197,      134.447
    0.0742840,      134.716
    0.0783406,      134.986
    0.0825931,      135.256
    0.0875250,      135.527
    0.0926200,      135.798
    0.0978908,      136.070
     0.103314,      136.343
     0.109002,      136.615
     0.114687,      136.889
     0.118448,      137.163
     0.122274,      137.438
     0.126581,      137.713
     0.130347,      137.988
     0.134078,      138.265
     0.138034,      138.542
     0.141923,      138.819
     0.145937,      139.097
     0.150218,      139.375
     0.154066,      139.654
     0.158373,      139.934
     0.167977,      140.214
     0.178996,      140.495
     0.189336,      140.776
     0.201029,      141.058
     0.215569,      141.340
     0.230016,      141.623
     0.244663,      141.907
     0.261589,      142.191
     0.280950,      142.476
     0.300303,      142.761
     0.318147,      143.047
     0.325011,      143.333
     0.331840,      143.620
     0.338830,      143.907
     0.345880,      144.196
     0.352740,      144.484
     0.359860,      144.773
     0.368824,      145.063
     0.377874,      145.354
     0.386316,      145.645
     0.392955,      145.936
     0.396902,      146.228
     0.406039,      146.521
     0.419442,      146.815
     0.437086,      147.108
     0.467363,      147.403
     0.504522,      147.698
     0.552886,      147.994
     0.601038,      148.290
     0.647656,      148.587
     0.700425,      148.884
     0.760565,      149.182
     0.822848,      149.481
     0.888895,      149.780
     0.968734,      150.080
      1.05422,      150.381
      1.14296,      150.682
      1.23849,      150.983
      1.28302,      151.286
      1.32492,      151.589
      1.37051,      151.892
      1.41611,      152.196
      1.47019,      152.501
      1.51807,      152.806
      1.56558,      153.112
      1.62037,      153.419
      1.68333,      153.726
      1.75087,      154.034
      1.81188,      154.342
      1.87848,      154.651
      1.95680,      154.960
      2.03664,      155.271
      2.11552,      155.582
      2.20142,      155.893
      2.28887,      156.205
      2.37717,      156.518
      2.47503,      156.831
      2.57862,      157.145
      2.68333,      157.460
      2.78278,      157.775
      2.87571,      158.091
      2.97521,      158.407
      3.09758,      158.725
      3.20750,      159.042
      3.13929,      159.361
      3.07432,      159.680
      3.02597,      159.999
      3.00533,      160.320
      2.97165,      160.641
      2.91648,      160.962
      2.85922,      161.285
      2.79320,      161.607
      2.74784,      161.931
      2.77429,      162.255
      2.80166,      162.580
      2.82075,      162.905
      2.83897,      163.232
      2.87863,      163.558
      2.91979,      163.886
      2.95904,      164.214
      2.98464,      164.543
      3.01435,      164.872
      3.06560,      165.202
      3.12460,      165.533
      3.14002,      165.864
      3.02524,      166.196
      2.88809,      166.529
      2.81321,      166.863
      2.70105,      167.197
      2.57391,      167.531
      2.46216,      167.867
      2.34233,      168.203
      2.28809,      168.540
      2.30704,      168.877
      2.22025,      169.215
      2.03483,      169.554
      1.88169,      169.893
      2.04680,      170.233
      2.36939,      170.574
      2.56208,      170.916
      2.89257,      171.258
      3.46284,      171.601
      4.05023,      171.944
      4.68550,      172.288
      5.49059,      172.633
      6.44683,      172.979
      6.34094,      173.325
      6.16330,      173.672
      5.78451,      174.020
      5.57167,      174.368
      5.55204,      174.717
      5.51690,      175.067
      5.47815,      175.418
      5.28897,      175.769
      5.11089,      176.121
      4.96434,      176.473
      4.72204,      176.827
      4.65381,      177.181
      4.82575,      177.535
      4.99562,      177.891
      5.14957,      178.247
      5.21119,      178.604
      5.32318,      178.961
      5.27200,      179.320
      5.16105,      179.679
      5.25293,      180.038
      5.25981,      180.399
      5.07956,      180.760
      4.82451,      181.122
      4.64164,      181.484
      4.46770,      181.848
      4.39648,      182.212
      4.41689,      182.577
      4.73768,      182.942
      5.07378,      183.308
      5.24064,      183.675
      5.28005,      184.043
      5.34080,      184.412
      5.52042,      184.781
      5.63069,      185.151
      5.68641,      185.521
      5.85020,      185.893
      6.14416,      186.265
      6.22404,      186.638
      6.07744,      187.012
      6.27460,      187.386
      6.57828,      187.761
      6.68674,      188.137
      7.27616,      188.514
      7.92115,      188.891
      8.48985,      189.269
      8.90810,      189.648
      9.14005,      190.028
      9.20530,      190.408
      9.44533,      190.789
      9.42873,      191.171
      9.05770,      191.554
      9.16072,      191.938
      9.82335,      192.322
      10.5949,      192.707
      10.8654,      193.093
      10.8114,      193.479
      10.4558,      193.867
      10.9361,      194.255
      12.0071,      194.644
      12.7588,      195.033
      13.0796,      195.424
      12.4870,      195.815
      11.4529,      196.207
      12.4360,      196.600
      14.4926,      196.993
      15.5163,      197.388
      16.1968,      197.783
      17.0996,      198.179
      18.0213,      198.576
      17.4793,      198.973
      16.8223,      199.372
      19.0554,      199.771
      20.2505,      200.171
      19.6881,      200.571
      20.6556,      200.973
      22.8218,      201.375
      24.1931,      201.778
      24.5475,      202.182
      24.1212,      202.587
      23.1752,      202.993
      23.2560,      203.399
      23.7375,      203.806
      24.1902,      204.214
      25.1045,      204.623
      26.9596,      205.033
      28.8501,      205.443
      29.7737,      205.855
      29.9887,      206.267
      29.5323,      206.680
      29.4954,      207.093
      31.6697,      207.508
      34.0483,      207.923
      33.6344,      208.340
      33.4802,      208.757
      36.1199,      209.175
      38.3610,      209.594
      38.8862,      210.013
      39.5474,      210.434
      41.0148,      210.855
      41.3155,      211.277
      41.0519,      211.700
      39.8989,      212.124
      39.9465,      212.548
      44.2852,      212.974
      46.7162,      213.400
      46.9468,      213.828
      48.4847,      214.256
      52.4886,      214.685
      56.1799,      215.114
      59.1773,      215.545
      62.1285,      215.977
      64.3763,      216.409
      64.3939,      216.842
      62.6784,      217.276
      64.2475,      217.711
      67.1865,      218.147
      68.2555,      218.584
      71.6277,      219.022
      76.3113,      219.460
      78.8003,      219.899
      80.2680,      220.340
      81.8180,      220.781
      82.3576,      221.223
      82.0813,      221.666
      85.1288,      222.109
      85.8666,      222.554
      85.7191,      223.000
      88.9428,      223.446
      94.7639,      223.893
      98.2362,      224.342
      96.2856,      224.791
      96.1876,      225.241
      103.858,      225.692
      108.859,      226.144
      108.482,      226.596
      104.250,      227.050
      159.880,      227.505
      1019.59,      227.960
      4998.36,      228.416
      14742.3,      228.874
      27510.7,      229.332
      26345.0,      229.791
      16016.3,      230.251
      10396.3,      230.712
      7306.64,      231.174
      7098.94,      231.637
      8561.17,      232.100
      10030.2,      232.565
      9542.76,      233.031
      10946.9,      233.497
      18506.8,      233.965
      27490.6,      234.433
      36529.7,      234.902
      29568.3,      235.373
      23987.7,      235.844
      27868.3,      236.316
      27778.0,      236.789
      16540.0,      237.263
      12723.0,      237.738
      13757.1,      238.214
      28233.5,      238.691
      62524.8,      239.169
      93565.7,      239.648
      85125.8,      240.128
      38236.5,      240.608
      12637.7,      241.090
      12975.1,      241.573
      29216.4,      242.056
      49054.6,      242.541
      88887.0,      243.026
      206770.,      243.513
      214184.,      244.000
      104332.,      244.489
      119068.,      244.978
      142642.,      245.469
      78217.4,      245.960
      43626.7,      246.453
      31529.7,      246.946
      33678.5,      247.441
      44956.7,      247.936
      68487.1,      248.432
      144086.,      248.930
      349617.,      249.428
      569940.,      249.927
      431338.,      250.428
      244262.,      250.929
      282371.,      251.431
      436884.,      251.935
      369032.,      252.439
      271475.,      252.945
      282450.,      253.451
      318808.,      253.958
      432457.,      254.467
      474720.,      254.976
      395551.,      255.487
      328904.,      255.998
      353101.,      256.511
      531059.,      257.024
      680261.,      257.539
      628884.,      258.054
      541031.,      258.571
      551762.,      259.089
      587304.,      259.607
      574928.,      260.127
      584219.,      260.648
      784711.,      261.170
      948735.,      261.693
      820346.,      262.216
      851919.,      262.741
      932845.,      263.267
  1.03647e+06,      263.794
  1.16025e+06,      264.323
      863543.,      264.852
      722550.,      265.382
      747616.,      265.913
      689191.,      266.446
      999507.,      266.979
  1.41808e+06,      267.514
  1.22005e+06,      268.049
  1.20387e+06,      268.586
  1.93001e+06,      269.123
  2.71731e+06,      269.662
  2.21316e+06,      270.202
  1.31786e+06,      270.743
  1.46482e+06,      271.285
  1.46835e+06,      271.828
  1.29713e+06,      272.372
  1.66088e+06,      272.918
  2.24577e+06,      273.464
  2.47918e+06,      274.012
  2.04986e+06,      274.560
  1.66141e+06,      275.110
  1.06434e+06,      275.661
  1.06304e+06,      276.212
  1.27047e+06,      276.765
  1.56053e+06,      277.319
  2.04166e+06,      277.875
  2.08454e+06,      278.431
  2.27062e+06,      278.988
  1.78377e+06,      279.547
  2.11683e+06,      280.107
  3.20055e+06,      280.667
  2.58306e+06,      281.229
  1.97132e+06,      281.792
  1.88564e+06,      282.356
  1.35268e+06,      282.922
      805859.,      283.488
  1.42823e+06,      284.056
  3.10127e+06,      284.624
  3.52373e+06,      285.194
  2.82063e+06,      285.765
  2.40881e+06,      286.337
  2.50643e+06,      286.910
  4.13870e+06,      287.485
  5.92350e+06,      288.060
  6.10285e+06,      288.637
  3.63066e+06,      289.215
  2.13676e+06,      289.794
  2.15051e+06,      290.374
  2.77543e+06,      290.955
  3.85021e+06,      291.538
  5.41836e+06,      292.122
  4.64885e+06,      292.706
  3.11264e+06,      293.292
  2.50805e+06,      293.880
  2.28656e+06,      294.468
  2.26689e+06,      295.057
  2.54563e+06,      295.648
  3.73946e+06,      296.240
  4.22967e+06,      296.833
  3.45346e+06,      297.427
  3.93564e+06,      298.023
  5.51281e+06,      298.620
  4.25252e+06,      299.217
  2.44572e+06,      299.816
  2.18917e+06,      300.417
  1.69653e+06,      301.018
  1.11022e+06,      301.621
      854831.,      302.225
      484033.,      302.830
      209086.,      303.436
      188449.,      304.043
      349536.,      304.652
      624225.,      305.262
  1.14643e+06,      305.873
  2.33506e+06,      306.485
  4.46760e+06,      307.099
  5.32971e+06,      307.714
  4.48733e+06,      308.330
  4.87298e+06,      308.947
  5.29780e+06,      309.566
  4.62173e+06,      310.185
  3.27816e+06,      310.806
  3.50548e+06,      311.429
  3.98531e+06,      312.052
  4.41730e+06,      312.677
  6.10155e+06,      313.303
  6.74558e+06,      313.930
  6.81627e+06,      314.559
  7.56191e+06,      315.188
  1.02075e+07,      315.819
  1.05706e+07,      316.452
  7.42901e+06,      317.085
  6.87257e+06,      317.720
  6.88343e+06,      318.356
  5.38304e+06,      318.993
  4.92362e+06,      319.632
  4.20583e+06,      320.272
  2.85539e+06,      320.913
  2.73738e+06,      321.556
  2.43801e+06,      322.199
  1.96632e+06,      322.844
  2.19856e+06,      323.491
  2.44057e+06,      324.138
  3.17294e+06,      324.787
  6.43618e+06,      325.437
  8.49042e+06,      326.089
  6.13830e+06,      326.742
  5.41432e+06,      327.396
  5.25004e+06,      328.051
  4.89833e+06,      328.708
  4.83742e+06,      329.366
  4.86790e+06,      330.026
  5.66705e+06,      330.686
  6.19999e+06,      331.348
  5.67596e+06,      332.012
  4.84915e+06,      332.676
  3.86107e+06,      333.342
  3.80553e+06,      334.010
  4.56103e+06,      334.678
  5.43726e+06,      335.348
  6.30025e+06,      336.020
  6.15513e+06,      336.693
  5.52138e+06,      337.367
  5.73972e+06,      338.042
  6.25617e+06,      338.719
  6.24917e+06,      339.397
  6.38704e+06,      340.076
  6.22378e+06,      340.757
  5.88096e+06,      341.439
  6.72681e+06,      342.123
  8.05612e+06,      342.808
  8.07762e+06,      343.494
  9.00785e+06,      344.182
  9.19294e+06,      344.871
  1.09621e+07,      345.561
  1.48554e+07,      346.253
  1.64162e+07,      346.946
  1.40284e+07,      347.641
  1.33736e+07,      348.337
  1.26395e+07,      349.034
  1.04043e+07,      349.733
  1.01611e+07,      350.433
  1.26469e+07,      351.135
  1.12470e+07,      351.838
  6.20084e+06,      352.542
  8.12634e+06,      353.248
  1.26832e+07,      353.955
  1.14074e+07,      354.664
  8.01461e+06,      355.374
  5.74264e+06,      356.085
  5.15306e+06,      356.798
  5.44113e+06,      357.512
  4.48989e+06,      358.228
  4.65518e+06,      358.945
  7.82264e+06,      359.664
  1.12504e+07,      360.384
  1.20140e+07,      361.105
  1.25144e+07,      361.828
  1.42567e+07,      362.553
  1.78649e+07,      363.279
  1.87501e+07,      364.006
  1.60803e+07,      364.735
  1.25637e+07,      365.465
  1.49107e+07,      366.197
  1.84039e+07,      366.930
  2.18353e+07,      367.664
  2.45863e+07,      368.400
  2.43343e+07,      369.138
  2.93162e+07,      369.877
  2.88235e+07,      370.617
  2.23840e+07,      371.359
  2.28728e+07,      372.103
  2.04890e+07,      372.848
  1.48526e+07,      373.594
  1.44683e+07,      374.342
  2.10972e+07,      375.092
  2.51814e+07,      375.842
  2.40675e+07,      376.595
  1.94436e+07,      377.349
  1.44185e+07,      378.104
  1.11529e+07,      378.861
  1.04561e+07,      379.620
  1.39007e+07,      380.380
  1.47057e+07,      381.141
  1.50637e+07,      381.904
  1.40323e+07,      382.669
  8.56065e+06,      383.435
  4.21477e+06,      384.203
  5.91472e+06,      384.972
  8.56106e+06,      385.743
  7.24336e+06,      386.515
  5.22216e+06,      387.289
  4.90678e+06,      388.064
  6.63920e+06,      388.841
  9.66685e+06,      389.619
  1.01442e+07,      390.399
  8.69892e+06,      391.181
  9.04980e+06,      391.964
  1.15534e+07,      392.749
  1.45716e+07,      393.535
  1.73747e+07,      394.323
  1.73193e+07,      395.112
  1.56573e+07,      395.903
  1.93499e+07,      396.696
  2.39311e+07,      397.490
  2.30811e+07,      398.286
  1.93183e+07,      399.083
  1.68147e+07,      399.882
  1.49143e+07,      400.683
  1.61630e+07,      401.485
  2.02257e+07,      402.289
  2.14992e+07,      403.094
  2.24432e+07,      403.901
  2.15444e+07,      404.710
  2.37604e+07,      405.520
  2.49805e+07,      406.332
  1.92429e+07,      407.145
  1.78051e+07,      407.960
  1.92577e+07,      408.777
  1.61740e+07,      409.596
  1.56895e+07,      410.416
  1.92813e+07,      411.237
  2.18022e+07,      412.061
  2.46733e+07,      412.885
  2.91268e+07,      413.712
  2.84736e+07,      414.540
  2.01464e+07,      415.370
  1.51995e+07,      416.202
  1.58961e+07,      417.035
  1.88348e+07,      417.870
  1.70891e+07,      418.706
  1.65389e+07,      419.545
  1.89876e+07,      420.385
  1.60941e+07,      421.226
  1.60639e+07,      422.070
  2.09098e+07,      422.915
  2.26622e+07,      423.761
  2.10771e+07,      424.610
  1.64397e+07,      425.460
  1.36698e+07,      426.311
  1.34879e+07,      427.165
  1.35093e+07,      428.020
  1.70030e+07,      428.877
  2.06650e+07,      429.736
  2.27575e+07,      430.596
  2.61609e+07,      431.458
  2.51856e+07,      432.322
  1.90328e+07,      433.187
  1.41904e+07,      434.055
  1.66546e+07,      434.924
  2.09535e+07,      435.794
  2.19725e+07,      436.667
  2.09212e+07,      437.541
  2.09286e+07,      438.417
  2.66969e+07,      439.295
  3.22491e+07,      440.174
  3.45105e+07,      441.055
  3.47461e+07,      441.938
  3.23325e+07,      442.823
  2.95969e+07,      443.710
  2.59906e+07,      444.598
  2.30229e+07,      445.488
  2.31797e+07,      446.380
  2.21516e+07,      447.273
  1.63037e+07,      448.169
  1.18978e+07,      449.066
  1.12315e+07,      449.965
  1.14763e+07,      450.866
  1.11109e+07,      451.769
  1.04572e+07,      452.673
  1.01674e+07,      453.579
  9.98582e+06,      454.487
  9.64221e+06,      455.397
  8.61604e+06,      456.309
  7.44369e+06,      457.223
  7.04373e+06,      458.138
  7.76660e+06,      459.055
  9.20965e+06,      459.974
  1.03017e+07,      460.895
  1.10830e+07,      461.818
  1.15178e+07,      462.742
  1.16517e+07,      463.669
  1.21570e+07,      464.597
  1.28804e+07,      465.527
  1.37846e+07,      466.459
  1.41229e+07,      467.393
  1.38128e+07,      468.329
  1.37808e+07,      469.266
  1.64798e+07,      470.206
  2.06918e+07,      471.147
  2.36818e+07,      472.090
  2.78831e+07,      473.035
  3.08404e+07,      473.982
  3.16599e+07,      474.931
  2.99255e+07,      475.882
  2.82642e+07,      476.835
  2.81916e+07,      477.789
  2.57139e+07,      478.746
  2.20547e+07,      479.704
  2.10757e+07,      480.665
  2.19798e+07,      481.627
  2.29480e+07,      482.591
  2.27226e+07,      483.557
  2.31645e+07,      484.526
  2.26130e+07,      485.496
  2.51263e+07,      486.468
  2.66895e+07,      487.441
  2.33093e+07,      488.417
  2.08443e+07,      489.395
  2.09006e+07,      490.375
  2.30162e+07,      491.357
  2.82104e+07,      492.340
  3.04252e+07,      493.326
  3.00277e+07,      494.314
  2.97525e+07,      495.303
  3.18559e+07,      496.295
  3.26453e+07,      497.288
  3.05597e+07,      498.284
  2.53124e+07,      499.282
  2.01045e+07,      500.281
  1.67278e+07,      501.283
  1.47174e+07,      502.286
  1.38955e+07,      503.292
  1.34026e+07,      504.299
  1.30467e+07,      505.309
  1.21009e+07,      506.321
  8.98444e+06,      507.334
