flux,lam
1.997862137417436e-17,100.0
1.6389523513834633e-17,100.200200133
1.3447629757171406e-17,100.400801068
1.1036698404449014e-17,100.601803605
9.06122241552915e-18,100.80320855
7.442760341509355e-18,101.005016708
6.116910914437522e-18,101.207228887
5.030819539268779e-18,101.409845894
4.14112387148133e-18,101.612868541
3.41226194757228e-18,101.816297639
2.8519406291091027e-18,102.020134003
2.6857989762095845e-18,102.224378447
2.5290569389106143e-18,102.429031789
2.3811990195743506e-18,102.634094847
2.2417370661859918e-18,102.839568442
2.1102088746897483e-18,103.045453395
1.9861768554748897e-18,103.251750531
1.8692267719111502e-18,103.458460673
1.75896653350544e-18,103.665584649
1.6550250553975223e-18,103.873123288
1.5560063425172138e-18,104.081077419
1.4612068111878934e-18,104.289447875
1.3720238262837218e-18,104.498235489
1.2881343445522005e-18,104.707441096
1.2092333256860189e-18,104.917065532
1.1350327609717191e-18,105.127109638
1.0652607570177774e-18,105.337574251
9.996606598912014e-19,105.548460216
9.3799023295731e-19,105.759768374
8.800208709740235e-19,105.971499571
8.239784488369702e-19,106.183654655
7.711845338343592e-19,106.396234473
7.216848620040009e-19,106.609239876
6.752795558240826e-19,106.822671717
6.317805104336032e-19,107.036530848
5.91010720851503e-19,107.250818125
5.528036478338221e-19,107.465534406
5.170026184810197e-19,107.68068055
4.834602599844521e-19,107.896257416
4.51446814172222e-19,108.112265867
4.2098933810007094e-19,108.328706767
3.925358953875192e-19,108.545580983
3.659580644779318e-19,108.762889381
3.4113542592296104e-19,108.980632831
3.1795507883855075e-19,109.198812203
2.9631118477473993e-19,109.417428371
2.7610453931336256e-19,109.636482208
2.572421677942162e-19,109.855974592
2.393623057962614e-19,110.075906399
2.222104275128474e-19,110.296278511
2.0625905219599213e-19,110.517091808
1.9142620598460089e-19,110.738347173
1.7763536816714483e-19,110.960045492
1.648151184935639e-19,111.182187651
1.5289880627370641e-19,111.404774539
1.4182424061396936e-19,111.627807046
1.3153339998270144e-19,111.851286065
1.2197216042118957e-19,112.075212488
1.1309004049119095e-19,112.299587213
1.048399630168336e-19,112.524411137
9.717803158820599e-20,112.749685158
9.006332131368753e-20,112.975410178
8.345768314438757e-20,113.2015871
7.73255606113191e-20,113.428216828
7.163381824783417e-20,113.65530027
6.635158127102668e-20,113.882838332
6.130277105367424e-20,114.110831927
5.648599822349301e-20,114.339281964
5.203975341428216e-20,114.568189359
4.7936160940254583e-20,114.797555027
4.414939380260511e-20,115.027379886
4.065552683380805e-20,115.257664854
3.74324000027791e-20,115.488410852
