flux,lam
3.996224198948279e-17,100.0
3.278314816784624e-17,100.200200133
2.689862450389056e-17,100.400801068
2.2076158510877578e-17,100.601803605
1.8124712209719258e-17,100.80320855
1.4887383074139598e-17,101.005016708
1.2235352453051984e-17,101.207228887
1.0062897930519652e-17,101.409845894
8.283283966907069e-18,101.612868541
6.8253777365132515e-18,101.816297639
5.704594890902851e-18,102.020134003
5.3722700116426906e-18,102.224378447
5.0587467156496426e-18,102.429031789
4.7629938786547545e-18,102.634094847
4.484035074477871e-18,102.839568442
4.220945779349842e-18,103.045453395
3.972850704550925e-18,103.251750531
3.7389212731659515e-18,103.458460673
3.518373206095742e-18,103.665584649
3.3104642407630855e-18,103.873123288
3.1124020377091543e-18,104.081077419
2.922779253523632e-18,104.289447875
2.7443909676148794e-18,104.498235489
2.576591012642665e-18,104.707441096
2.4187692316620186e-18,104.917065532
2.2703495351775074e-18,105.127109638
2.1307880683701155e-18,105.337574251
1.9995714591512695e-18,105.548460216
1.8762151736366716e-18,105.759768374
1.760261944138219e-18,105.971499571
1.6481630765114491e-18,106.183654655
1.5425620360252921e-18,106.396234473
1.4435503061992867e-18,106.609239876
1.3507280819744327e-18,106.822671717
1.2637191065592323e-18,107.036530848
1.1821693256995991e-18,107.250818125
1.1057456192344961e-18,107.465534406
1.034134602160586e-18,107.68068055
9.670414919834902e-19,107.896257416
9.030065897540982e-19,108.112265867
8.42084016354092e-19,108.328706767
7.851700111395443e-19,108.545580983
7.320076988622866e-19,108.762889381
6.823562104930971e-19,108.980632831
6.359897160127094e-19,109.198812203
5.926965120372852e-19,109.417428371
5.522781649066106e-19,109.636482208
5.145487020352751e-19,109.855974592
4.787845040583397e-19,110.075906399
4.444764556736568e-19,110.296278511
4.1256971362105816e-19,110.517091808
3.829003096660913e-19,110.738347173
3.553151832379784e-19,110.960045492
3.296714759651696e-19,111.182187651
3.058358697894187e-19,111.404774539
2.8368396736155267e-19,111.627807046
2.6309971109960163e-19,111.851286065
2.439748395427619e-19,112.075212488
2.262083771826384e-19,112.299587213
2.0970615788742625e-19,112.524411137
1.943803778531642e-19,112.749685158
1.801491770560355e-19,112.975410178
1.66936247852282e-19,113.2015871
1.5467046840669358e-19,113.428216828
1.4328555949454497e-19,113.65530027
1.327197638242846e-19,113.882838332
1.2262088008295569e-19,114.110831927
1.1298612917829746e-19,114.339281964
1.0409252703074419e-19,114.568189359
9.58843152934541e-20,114.797555027
8.830983350619094e-20,115.027379886
8.132122534717146e-20,115.257664854
7.487416520918371e-20,115.488410852
6.892760400352987e-20,115.719618805
6.344353296309479e-20,115.951289636
5.838676371822173e-20,116.183424273
5.372472417949821e-20,116.416023643
4.9427268563663395e-20,116.649088678
4.546650109823916e-20,116.882620309
4.181661201189595e-20,117.116619471
3.845372532986552e-20,117.351087099
3.535575737424196e-20,117.586024132
3.250228546962878e-20,117.821431509
2.984675896513736e-20,118.057310172
2.732471575716134e-20,118.293661065
2.501170553286509e-20,118.530485132
2.2890751733111512e-20,118.767783321
2.0946227446159773e-20,119.005556582
1.9163750500611468e-20,119.243805865
